@RELATION whatever
@ATTRIBUTE label {0, 1}
@ATTRIBUTE avg_sen_len numeric
@ATTRIBUTE w2v_cont_avg numeric
@ATTRIBUTE w2v_cont_dif numeric
@ATTRIBUTE tri_ppl numeric
@ATTRIBUTE tri_ent numeric
@ATTRIBUTE quad_ppl numeric
@ATTRIBUTE quad_ent numeric
@ATTRIBUTE pos-tri_ppl numeric
@ATTRIBUTE pos-tri_ent numeric
@ATTRIBUTE pos-quad_ppl numeric
@ATTRIBUTE pos-quad_ent numeric
@DATA
0,-0.376463670366,-1.02492344583,-0.0171040738879,-0.7514438077,-0.822832848499,-0.470508268775,-0.397177451051,-0.6171763656,-0.550993480645,-0.377304295539,-0.347888819139
1,0.715974496865,0.0857619037843,-0.134100838651,-0.670073688855,-0.708879706395,-0.915615969973,-0.994298633387,1.3692086266,1.35711187095,1.07654036812,1.04538125135
0,-0.431372255756,-0.782451339705,-0.0327504238027,-0.476931428741,-0.435392165348,-0.349728355364,-0.236414055807,0.277788301217,0.346938449516,0.318012717517,0.295158905702
1,0.57639913344,1.10750013414,0.00546057922743,-0.755616634307,-0.845623476919,-1.07716676786,-1.24692682591,-0.529862739569,-0.550993480645,-0.84084897091,-0.883761923173
0,0.205675869264,-0.81655118756,0.00841302813012,0.940339322565,1.09157993883,1.25627663539,1.27935509935,0.867155276926,0.908145905866,1.35045313084,1.36690511377
0,0.892008519715,-1.02552632554,-0.0234230051886,-0.0492167014802,0.111582916747,0.428597025725,0.590369119736,-0.180608235445,-0.102027515565,0.212661654933,0.295158905702
1,-1.20568691087,-0.116387025607,0.022197724575,4.06846898291,3.05157398301,3.85917573379,2.81809045384,0.0376758296323,0.122455466976,0.360153142551,0.402333526509
1,-1.03627636329,0.728948524021,-0.0177484922025,0.216950024264,0.407861086216,0.166805030668,0.337740927209,0.25595989471,0.234696958246,-0.0191106827528,-0.0263649567184
1,2.52829319252,0.939203998944,-0.00276320879043,1.82408438621,1.77529879145,1.53891389469,1.48605089324,-0.682661585123,-0.663234971915,-0.545865995674,-0.562238060752
0,-0.791696897243,-0.631165230944,0.00240924219691,-0.607481289744,-0.617717192713,-0.0888560043177,0.0621465353616,-0.922774056708,-0.887717954455,-0.482655358124,-0.455063439945
0,0.220278691614,-0.796343172785,-0.0153953349217,-0.372312704512,-0.298648394824,-0.265734202383,-0.144549258524,0.0376758296323,0.122455466976,0.149451017382,0.187984284895
1,0.608713766125,-0.513191816033,-0.092841448629,1.13974082259,1.25111433778,0.796148082018,0.911895910225,0.779841650895,0.795904414596,0.844768030438,0.831032009736
0,-0.764258962617,-0.690410529662,-0.21644884557,-1.19942654991,-1.62050484322,-1.00941965907,-1.13209582931,0.801670057403,0.795904414596,1.07654036812,1.04538125135
1,2.29874707277,1.23852035409,-0.0401089972699,0.798165158869,0.977626796732,0.634903832135,0.774098714301,0.692528024864,0.683662923326,0.823697817921,0.831032009736
